,value,z_score,rate_of_change,hour,day_of_week,month,ema_mean,ema_std,upper_threshold,lower_threshold,label
0,43.65201891903271,-0.13111117368167377,0.00015782540668033044,0.0,6.0,11.0,43.65201891903271,4.266660485855091,59.738238005908535,34.138275090777995,1
1,42.429643560118315,-0.17988666338847956,-1.2223753589143982,0.0,6.0,11.0,43.42976885377555,0.8643499054437107,46.02281857010668,40.83671913744442,1
2,42.734892794363766,-0.16770654148535796,0.30524923424545136,0.0,6.0,11.0,43.303427752064316,0.7146818366771774,45.44747326209585,41.159382242032784,1
3,42.42904809186821,-0.17991042389321477,-0.3058447024955555,0.0,6.0,11.0,43.14444963202866,0.7141352672905007,45.286855433900165,41.002043830157156,1
4,42.42889922741721,-0.17991636391519283,-0.00014886445099904222,0.0,6.0,11.0,43.01434955846294,0.6865730091961918,45.07406858605152,40.95463053087436,1
5,41.20821287225981,-0.2286244586235939,-1.2206863551574045,0.0,6.0,11.0,42.68596107006237,0.9894612741250852,45.65434489243763,39.71757724768711,1
6,40.59729351376575,-0.25300149687506773,-0.6109193584940584,0.0,6.0,11.0,42.30620333255389,1.2467144481505856,46.04634667700565,38.56605998810213,1
7,39.37715121766375,-0.3016878824196973,-1.2201422961019972,0.0,6.0,11.0,41.77364840257386,1.6554207247467485,46.73991057681411,36.80738622833361,1
8,39.68184353915731,-0.28952998257136375,0.30469232149356174,0.0,6.0,11.0,41.39332024558903,1.7173443234109835,46.54535321582198,36.24128727535608,1
9,40.29261617809589,-0.2651587987557766,0.6107726389385775,0.0,6.0,11.0,41.193192233317546,1.6080395154366363,46.01731077962746,36.369073687007635,1
10,41.81855819126578,-0.2042703258216927,1.5259420131698889,0.0,6.0,11.0,41.30689513476268,1.4704593307175402,45.7182731269153,36.89551714261005,1
11,41.5131675894154,-0.21645608860599583,-0.3053906018503767,0.0,6.0,11.0,41.344399217426805,1.3287342891710734,45.330602084940026,37.358196349913584,1
12,40.90210580235912,-0.24083881007320224,-0.6110617870562862,0.0,6.0,11.0,41.26398223286904,1.212972728414439,44.90290041811236,37.62506404762572,1
13,39.987369085837585,-0.27733883518885716,-0.9147367165215314,0.0,6.0,11.0,41.03187075159059,1.2130127629052834,44.67090904030644,37.392832462874736,1
14,39.98694819274572,-0.2773556297573342,-0.0004208930918636611,0.0,6.0,11.0,40.84188483180061,1.1759412925121384,44.369708709337026,37.3140609542642,1
15,40.29176797499131,-0.26519264394211406,0.3048197822455876,0.0,6.0,11.0,40.74186358510801,1.0863679208586703,44.00096734768402,37.482759822531996,1
16,39.98652730851411,-0.2773724239722673,-0.3052406664771965,0.0,6.0,11.0,40.604529716636385,1.0292201539451606,43.69219017847187,37.5168692548009,1
17,39.986948192745714,-0.27735562975733447,0.00042088423160180355,0.0,6.0,11.0,40.49224216683808,0.9640227776932632,43.38431049991787,37.60017383375829,1
18,39.68226122225575,-0.28951331608874875,-0.30468697048996773,0.0,6.0,11.0,40.34497290418675,0.9319954074703213,43.140959126597714,37.54898668177578,1
19,39.68253968253968,-0.28950220490541745,0.00027846028392986,0.0,6.0,11.0,40.224530500250914,0.8849188241756811,42.879286972777955,37.569774027723874,1
20,40.90497610543084,-0.24072427861041604,1.222436422891164,0.0,6.0,11.0,40.3482478830109,0.8468497474472539,42.88879712535266,37.80769864066914,1
21,41.21052631578947,-0.22853214709240538,0.30555021035863206,0.0,6.0,11.0,40.50502577987973,0.8423911356395928,43.03219918679851,37.97785237296095,1
22,41.82134611470958,-0.20415908148889048,0.6108197989201045,0.0,6.0,11.0,40.74435674984879,0.9311267435990064,43.53773698064581,37.95097651905177,1
23,42.431578947368415,-0.1798094371418872,0.6102328326588378,0.0,6.0,11.0,41.051124422125085,1.0862343191079615,44.30982737944897,37.7924214648012,1
24,43.34691213776696,-0.14328561139475166,0.9153331903985418,0.0,6.0,11.0,41.468540370423604,1.3552059088508217,45.53415809697607,37.402922643871136,1
25,44.263779140759866,-0.10670058312102461,0.9168670029929089,0.0,6.0,11.0,41.97676560139383,1.6715703431622864,46.99147663088069,36.96205457190697,1
26,44.568733815675905,-0.09453221478887858,0.3049546749160399,0.0,6.0,11.0,42.44803254944512,1.8429820260269958,47.9769786275261,36.91908647136413,1
27,43.958048975610446,-0.11889989523457144,-0.6106848400654599,0.0,6.0,11.0,42.72258099056609,1.7764816058637405,48.05202580815731,37.39313617297486,1
28,43.04210526315789,-0.1554480821666278,-0.9159437124525525,0.0,6.0,11.0,42.780676312855505,1.612125317585841,47.617052265613026,37.944300360097984,1
29,42.43172783062396,-0.17980349636956588,-0.6103774325339302,0.0,6.0,11.0,42.71723113426795,1.465103888910033,47.11254280099805,38.321919467537846,1
30,43.04135015175173,-0.15547821278759483,0.609622321127766,0.0,6.0,11.0,42.77616186471954,1.3317696761898388,46.771470893289056,38.780852836150025,1
31,43.34812891454236,-0.1432370593009523,0.30677876279062843,0.0,6.0,11.0,42.88015587377823,1.226868775154845,46.56076219924277,39.19954954831369,1
32,43.34736842105263,-0.14326740467899826,-0.0007604934897287308,0.0,6.0,11.0,42.9651036096463,1.1258827954600392,46.342751996026415,39.58745522326618,1
33,43.347216325556744,-0.14327347362683812,-0.00015209549588490745,0.0,6.0,11.0,43.03457864890274,1.0301796876303642,46.12511771179383,39.94403958601165,1
34,42.12661141481695,-0.19197831852222239,-1.2206049107397945,0.0,6.0,11.0,42.869493697250775,1.0022858036828535,45.87635110829933,39.86263628620222,1
